date;rf
195409;0.0008416667
195410;0.0008166667
195411;0.0007750000
195412;0.0009583333
195501;0.0010166667
195502;0.0009750000
195503;0.0010666667
195504;0.0013250000
195505;0.0012083333
195506;0.0011750000
195507;0.0013333333
195508;0.0015833333
195509;0.0017250000
195510;0.0018583333
195511;0.0018666667
195512;0.0021166667
195601;0.0020083333
195602;0.0019333333
195603;0.0018750000
195604;0.0021666667
195605;0.0021750000
195606;0.0020750000
195607;0.0019250000
195608;0.0021666667
195609;0.0023666667
195610;0.0024166667
195611;0.0024916667
195612;0.0026750000
195701;0.0025916667
195702;0.0025833333
195703;0.0025666667
195704;0.0025583333
195705;0.0025500000
195706;0.0027416667
195707;0.0026333333
195708;0.0028083333
195709;0.0029416667
195710;0.0029833333
195711;0.0027583333
195712;0.0025333333
195801;0.0020333333
195802;0.0012750000
195803;0.0010833333
195804;0.0009416667
195805;0.0007583333
195806;0.0006916667
195807;0.0007583333
195808;0.0014083333
195809;0.0020333333
195810;0.0021916667
195811;0.0022250000
195812;0.0023083333
195901;0.0023500000
195902;0.0022500000
195903;0.0023333333
195904;0.0024583333
195905;0.0023666667
195906;0.0026750000
195907;0.0026666667
195908;0.0028166667
195909;0.0033666667
195910;0.0033750000
195911;0.0034583333
195912;0.0037416667
196001;0.0036250000
196002;0.0033000000
196003;0.0027583333
196004;0.0026916667
196005;0.0027416667
196006;0.0020500000
196007;0.0019166667
196008;0.0019166667
196009;0.0020666667
196010;0.0019166667
196011;0.0019750000
196012;0.0018750000
196101;0.0018666667
196102;0.0020166667
196103;0.0019916667
196104;0.0019083333
196105;0.0019083333
196106;0.0019416667
196107;0.0018666667
196108;0.0019916667
196109;0.0019000000
196110;0.0019166667
196111;0.0020666667
196112;0.0021666667
196201;0.0022666667
196202;0.0022750000
196203;0.0022666667
196204;0.0022750000
196205;0.0022416667
196206;0.0022750000
196207;0.0024333333
196208;0.0023500000
196209;0.0023166667
196210;0.0022833333
196211;0.0023583333
196212;0.0023916667
196301;0.0024250000
196302;0.0024333333
196303;0.0024083333
196304;0.0024166667
196305;0.0024416667
196306;0.0024916667
196307;0.0026500000
196308;0.0027666667
196309;0.0028166667
196310;0.0028750000
196311;0.0029333333
196312;0.0029333333
196401;0.0029333333
196402;0.0029416667
196403;0.0029500000
196404;0.0028916667
196405;0.0029000000
196406;0.0029000000
196407;0.0028833333
196408;0.0029166667
196409;0.0029416667
196410;0.0029750000
196411;0.0030333333
196412;0.0032000000
196501;0.0031750000
196502;0.0032750000
196503;0.0032750000
196504;0.0032750000
196505;0.0032416667
196506;0.0031666667
196507;0.0032000000
196508;0.0032000000
196509;0.0032666667
196510;0.0033583333
196511;0.0034083333
196512;0.0036500000
196601;0.0038250000
196602;0.0038750000
196603;0.0038250000
196604;0.0038500000
196605;0.0038666667
196606;0.0037500000
196607;0.0040000000
196608;0.0041333333
196609;0.0044750000
196610;0.0044583333
196611;0.0044333333
196612;0.0041333333
196701;0.0039333333
196702;0.0038000000
196703;0.0035500000
196704;0.0032000000
196705;0.0030000000
196706;0.0029500000
196707;0.0035083333
196708;0.0035583333
196709;0.0036833333
196710;0.0038000000
196711;0.0039416667
196712;0.0041416667
196801;0.0041666667
196802;0.0041500000
196803;0.0043083333
196804;0.0044833333
196805;0.0047166667
196806;0.0046000000
196807;0.0044250000
196808;0.0042416667
196809;0.0043250000
196810;0.0044583333
196811;0.0045416667
196812;0.0049666667
196901;0.0051166667
196902;0.0051000000
196903;0.0050166667
196904;0.0050916667
196905;0.0050333333
196906;0.0053666667
196907;0.0058333333
196908;0.0058166667
196909;0.0059083333
196910;0.0058333333
196911;0.0060333333
196912;0.0065166667
197001;0.0065583333
197002;0.0059416667
197003;0.0055250000
197004;0.0054250000
197005;0.0057000000
197006;0.0055666667
197007;0.0053750000
197008;0.0053416667
197009;0.0051000000
197010;0.0049250000
197011;0.0044000000
197012;0.0040583333
197101;0.0037000000
197102;0.0030833333
197103;0.0028166667
197104;0.0032166667
197105;0.0034500000
197106;0.0039583333
197107;0.0045000000
197108;0.0041166667
197109;0.0039083333
197110;0.0037166667
197111;0.0035166667
197112;0.0033416667
197201;0.0028166667
197202;0.0026666667
197203;0.0031083333
197204;0.0030916667
197205;0.0030750000
197206;0.0032583333
197207;0.0033166667
197208;0.0033500000
197209;0.0038833333
197210;0.0039500000
197211;0.0039833333
197212;0.0042250000
197301;0.0045083333
197302;0.0046666667
197303;0.0050750000
197304;0.0052166667
197305;0.0053000000
197306;0.0059916667
197307;0.0066750000
197308;0.0072250000
197309;0.0069083333
197310;0.0060166667
197311;0.0065250000
197312;0.0062083333
197401;0.0064750000
197402;0.0059333333
197403;0.0066333333
197404;0.0069416667
197405;0.0068583333
197406;0.0065833333
197407;0.0062916667
197408;0.0074666667
197409;0.0067166667
197410;0.0062166667
197411;0.0062250000
197412;0.0059583333
197501;0.0052166667
197502;0.0045833333
197503;0.0045750000
197504;0.0046750000
197505;0.0043583333
197506;0.0044500000
197507;0.0051083333
197508;0.0053666667
197509;0.0053500000
197510;0.0049666667
197511;0.0045666667
197512;0.0045333333
197601;0.0040583333
197602;0.0040666667
197603;0.0041666667
197604;0.0040500000
197605;0.0043333333
197606;0.0045083333
197607;0.0043583333
197608;0.0042833333
197609;0.0042333333
197610;0.0041000000
197611;0.0039583333
197612;0.0036250000
197701;0.0038500000
197702;0.0038916667
197703;0.0038333333
197704;0.0037833333
197705;0.0041333333
197706;0.0041833333
197707;0.0043250000
197708;0.0045750000
197709;0.0048416667
197710;0.0051333333
197711;0.0050833333
197712;0.0050583333
197801;0.0053666667
