,1,2,3,4,5
304,3.0,1.0,3.0,1.0,1.0
305,1.0,1.0,1.0,1.0,1.0
306,2.0,5.0,1.0,1.0,1.0
307,1.0,1.0,4.0,1.0,2.0
308,2.0,1.0,1.0,2.0,2.0
309,1.0,4.0,5.0,1.0,1.0
310,3.0,1.0,1.0,14.0,1.0
311,2.0,1.0,1.0,1.0,1.0
312,13.0,1.0,1.0,1.0,8.0
313,1.0,1.0,1.0,1.0,2.0
314,12.0,2.0,5.0,5.0,8.0
315,1.0,1.0,5.0,1.0,1.0
316,1.0,1.0,14.0,2.0,1.0
317,1.0,5.0,1.0,30.0,1.0
318,1.0,45.0,1.0,1.0,3.0
319,2.0,3.0,5.0,1.0,10.0
320,5.0,1.0,1.0,15.0,1.0
321,7.0,1.0,1.0,1.0,52.0
322,1.0,1.0,1.0,1.0,9.0
323,1.0,1.0,1.0,27.0,1.0
324,1.0,1.0,2.0,1.0,1.0
325,1.0,2.0,2.0,4.0,3.0
326,1.0,9.0,13.0,1.0,1.0
327,2.0,2.0,2.0,8.0,1.0
328,3.0,6.0,1.0,1.0,1.0
329,1.0,2.0,3.0,1.0,1.0
330,2.0,5.0,6.0,2.0,1.0
331,1.0,1.0,2.0,1.0,1.0
332,2.0,12.0,2.0,2.0,1.0
333,5.0,2.0,2.0,1.0,1.0
334,3.0,10.0,13.0,1.0,2.0
335,10.0,1.0,10.0,3.0,1.0
336,1.0,6.0,1.0,3.0,1.0
337,2.0,6.0,1.0,1.0,1.0
338,1.0,1.0,1.0,1.0,1.0
339,6.0,1.0,1.0,18.0,2.0
340,1.0,1.0,1.0,1.0,1.0
341,1.0,1.0,1.0,3.0,7.0
342,1.0,3.0,1.0,1.0,2.0
343,1.0,20.0,1.0,7.0,10.0
344,3.0,2.0,1.0,4.0,2.0
345,6.0,1.0,6.0,7.0,1.0
346,1.0,1.0,1.0,7.0,1.0
347,6.0,1.0,13.0,2.0,1.0
348,39.0,1.0,1.0,1.0,3.0
349,3.0,1.0,1.0,2.0,2.0
350,1.0,1.0,3.0,1.0,1.0
351,1.0,2.0,4.0,4.0,5.0
352,2.0,1.0,2.0,2.0,1.0
353,1.0,2.0,1.0,14.0,1.0
354,1.0,10.0,1.0,6.0,1.0
355,7.0,2.0,3.0,4.0,2.0
356,26.0,2.0,6.0,1.0,1.0
357,2.0,2.0,5.0,6.0,1.0
358,2.0,2.0,1.0,14.0,10.0
359,3.0,1.0,1.0,1.0,1.0
360,8.0,2.0,1.0,11.0,2.0
361,11.0,1.0,18.0,1.0,11.0
362,1.0,1.0,1.0,2.0,1.0
363,2.0,1.0,2.0,1.0,4.0
364,2.0,1.0,1.0,1.0,22.0
365,8.0,18.0,2.0,1.0,1.0
366,2.0,3.0,1.0,2.0,1.0
367,2.0,1.0,3.0,1.0,1.0
368,1.0,4.0,4.0,3.0,1.0
369,3.0,1.0,1.0,2.0,1.0
370,3.0,1.0,27.0,1.0,1.0
371,4.0,1.0,18.0,1.0,5.0
372,1.0,2.0,1.0,22.0,3.0
373,1.0,19.0,3.0,1.0,12.0
374,4.0,1.0,2.0,10.0,2.0
375,5.0,1.0,1.0,1.0,1.0
376,4.0,4.0,16.0,1.0,4.0
377,1.0,3.0,3.0,1.0,5.0
378,135.0,1.0,1.0,1.0,1.0
379,65.0,1.0,1.0,10.0,3.0
380,1.0,7.0,1.0,1.0,1.0
381,4.0,2.0,1.0,10.0,1.0
382,7.0,1.0,22.0,1.0,3.0
383,10.0,1.0,1.0,1.0,1.0
384,1.0,2.0,2.0,21.0,2.0
385,4.0,1.0,1.0,2.0,1.0
386,8.0,1.0,7.0,1.0,3.0
387,1.0,2.0,1.0,1.0,2.0
388,1.0,18.0,1.0,1.0,2.0
389,1.0,1.0,1.0,1.0,3.0
390,1.0,4.0,3.0,2.0,1.0
391,8.0,1.0,6.0,1.0,2.0
392,1.0,1.0,5.0,1.0,1.0
393,1.0,1.0,2.0,1.0,1.0
394,2.0,12.0,1.0,13.0,14.0
395,4.0,2.0,4.0,1.0,1.0
396,3.0,3.0,1.0,1.0,1.0
397,2.0,2.0,2.0,1.0,1.0
398,14.0,2.0,2.0,1.0,8.0
399,1.0,1.0,4.0,1.0,3.0
400,2.0,1.0,1.0,1.0,1.0
401,6.0,2.0,1.0,4.0,1.0
402,1.0,3.0,3.0,1.0,1.0
403,3.0,1.0,10.0,1.0,1.0
404,1.0,5.0,1.0,1.0,8.0
405,1.0,3.0,1.0,1.0,1.0
406,1.0,1.0,1.0,1.0,1.0
407,1.0,1.0,1.0,1.0,1.0
408,4.0,1.0,1.0,3.0,2.0
409,1.0,1.0,2.0,2.0,3.0
410,29.0,3.0,1.0,5.0,25.0
411,1.0,3.0,1.0,1.0,3.0
412,26.0,2.0,1.0,1.0,4.0
413,1.0,2.0,1.0,3.0,2.0
414,2.0,1.0,1.0,2.0,1.0
415,9.0,1.0,1.0,2.0,14.0
416,1.0,2.0,1.0,1.0,1.0
417,1.0,13.0,4.0,1.0,2.0
418,1.0,1.0,1.0,1.0,1.0
419,1.0,1.0,18.0,2.0,4.0
420,2.0,1.0,2.0,4.0,1.0
421,1.0,1.0,1.0,1.0,1.0
422,1.0,1.0,5.0,1.0,1.0
423,8.0,3.0,20.0,1.0,2.0
424,12.0,34.0,1.0,4.0,3.0
425,3.0,26.0,1.0,1.0,5.0
426,4.0,5.0,11.0,2.0,1.0
427,1.0,3.0,1.0,2.0,2.0
428,9.0,1.0,4.0,1.0,1.0
429,1.0,3.0,1.0,1.0,1.0
430,3.0,3.0,30.0,3.0,1.0
431,6.0,3.0,1.0,1.0,1.0
432,8.0,18.0,4.0,1.0,1.0
433,2.0,1.0,41.0,102.0,2.0
434,1.0,11.0,1.0,4.0,2.0
435,1.0,1.0,6.0,1.0,1.0
436,10.0,2.0,1.0,1.0,2.0
437,2.0,1.0,19.0,3.0,1.0
438,1.0,1.0,4.0,2.0,1.0
439,3.0,18.0,66.0,2.0,2.0
440,1.0,2.0,1.0,1.0,1.0
441,1.0,1.0,41.0,1.0,12.0
442,3.0,2.0,2.0,6.0,1.0
443,1.0,2.0,1.0,1.0,5.0
444,6.0,2.0,15.0,2.0,4.0
445,13.0,1.0,6.0,8.0,2.0
446,6.0,6.0,1.0,1.0,1.0
447,1.0,1.0,3.0,9.0,1.0
448,3.0,34.0,4.0,3.0,1.0
449,1.0,1.0,1.0,1.0,1.0
450,12.0,1.0,1.0,2.0,1.0
451,31.0,1.0,3.0,1.0,1.0
452,2.0,48.0,2.0,3.0,2.0
453,1.0,13.0,2.0,3.0,7.0
454,5.0,2.0,1.0,4.0,4.0
455,6.0,2.0,8.0,1.0,4.0
456,2.0,3.0,1.0,4.0,1.0
457,6.0,25.0,1.0,1.0,8.0
458,1.0,1.0,5.0,1.0,7.0
459,2.0,2.0,1.0,1.0,2.0
460,4.0,2.0,2.0,2.0,8.0
